id,task,audio_dependency,duration,n_gt,n_emits,tp_time,tp_content,fp,fn,time_f1,joint_f1,verdict
instant_event_alert::MEqYM_4UbRs::65,instant_event_alert,required,60.0,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::CGqjKsJCDVw::66,instant_event_alert,required,67.933333,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::PvlM8BEcsBg::67,instant_event_alert,required,357.5572,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::QDdyEQL6F90::68,instant_event_alert,required,193.059533,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::EWRMsjY10hw::69,instant_event_alert,helpful,345.9456,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::MmsIOgJuuWQ::70,instant_event_alert,required,385.051333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::6bElihFrX9A::71,instant_event_alert,helpful,271.938333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::SOJfcshF9_Q::72,instant_event_alert,required,463.5,5,5,5,5,0,0,1.0,1.0,GOOD
instant_event_alert::28bX9kzKMys::73,instant_event_alert,helpful,74.32,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::1QrVqf8eLOE::74,instant_event_alert,helpful,454.537417,1,3,0,0,3,1,0.0,0.0,WRONG_TIME
instant_event_alert::R6dNb64RPIE::75,instant_event_alert,required,415.248167,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::8cv_g1oYF3M::76,instant_event_alert,required,426.759667,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::0zoM5qZTjRo::77,instant_event_alert,required,311.4111,7,7,7,7,0,0,1.0,1.0,GOOD
instant_event_alert::Bo5pzWMsF4A::78,instant_event_alert,required,165.6655,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::Uw_Y57n-QRE::79,instant_event_alert,required,306.239267,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::WDfHSGW-IDg::80,instant_event_alert,required,111.166667,2,1,1,1,0,1,0.667,0.667,GOOD
instant_event_alert::2llGbAybvB0::81,instant_event_alert,none,144.310833,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::KknUO0Elk0I::82,instant_event_alert,required,212.587367,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::T8_lLHomDS0::83,instant_event_alert,required,145.912433,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::IWquNO7pJ_Q::84,instant_event_alert,none,267.51725,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::QWaP9J2Pn-4::85,instant_event_alert,required,321.44,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::EUXY75I2qr0::86,instant_event_alert,helpful,202.566667,2,3,0,0,3,2,0.0,0.0,WRONG_TIME
instant_event_alert::64yLR2qTZcg::87,instant_event_alert,required,30.03,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::FQKfPV58l4I::88,instant_event_alert,required,74.24,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
